Id,Temperatura,Humedad,fecha_actual
1,27.5,62.9,12/09/2024 11:14
2,27.4,60.9,12/09/2024 11:15
3,27.3,61.7,12/09/2024 11:16
4,27.1,63.3,12/09/2024 11:17
5,27.1,62.2,12/09/2024 11:18
6,26.9,61.8,12/09/2024 11:19
7,25.2,61.7,12/09/2024 11:20
8,26.7,63.3,12/09/2024 11:21
9,26.8,63.1,12/09/2024 11:22
10,26.9,65.3,12/09/2024 11:23
11,26.7,62.6,12/09/2024 11:24
12,26.6,63.3,12/09/2024 11:25
13,26.6,62.9,12/09/2024 11:26
14,26.6,63.4,12/09/2024 11:27
15,26.9,60.3,12/09/2024 11:36
16,26.9,60.3,12/09/2024 11:36
17,26.9,60.4,12/09/2024 11:37
18,27,59.9,12/09/2024 11:46
19,27.3,58.9,12/09/2024 12:01
20,27.3,58.3,12/09/2024 12:15
21,27.4,59,12/09/2024 12:15
22,27.3,59,12/09/2024 12:16
23,27.4,59.1,12/09/2024 12:16
24,27.4,60.6,12/09/2024 12:16
25,27.4,60.4,12/09/2024 12:16
26,27.4,60.2,12/09/2024 12:16
27,27.4,60.1,12/09/2024 12:17
28,27.4,60,12/09/2024 12:17
29,27.3,60,12/09/2024 12:17
30,27.3,59.9,12/09/2024 12:17
31,27.4,60,12/09/2024 12:17
32,27.3,60,12/09/2024 12:18
33,27.3,60.1,12/09/2024 12:18
34,27.3,60.2,12/09/2024 12:18
35,27.3,60.2,12/09/2024 12:18
36,27.2,60.2,12/09/2024 12:18
37,27.2,60.2,12/09/2024 12:18
38,27.2,60.2,12/09/2024 12:19
39,27.1,60.4,12/09/2024 12:19
40,27.1,60.6,12/09/2024 12:19
41,27,60.6,12/09/2024 12:19
42,27,61.3,12/09/2024 12:20
43,27,60.9,12/09/2024 12:20
44,27.1,60.9,12/09/2024 12:20
45,27.1,60.9,12/09/2024 12:20
46,27.1,60.9,12/09/2024 12:20
47,27.1,60.8,12/09/2024 12:21
48,27.1,60.9,12/09/2024 12:21
49,27.2,63.7,12/09/2024 12:21
50,27.3,63.3,12/09/2024 12:21
51,27.3,62.2,12/09/2024 12:21
52,27.3,61.4,12/09/2024 12:21
53,27.3,60.8,12/09/2024 12:22
54,27.3,60.4,12/09/2024 12:22
55,27.3,60.1,12/09/2024 12:22
56,27.3,60,12/09/2024 12:22
57,27.3,60.1,12/09/2024 12:22
58,27.3,60.2,12/09/2024 12:23
59,27.3,60,12/09/2024 12:23
60,27.3,60,12/09/2024 12:23
61,27.3,60,12/09/2024 12:23
62,27.3,60,12/09/2024 12:23
63,27.3,60,12/09/2024 12:23
64,27.4,60.1,12/09/2024 12:24
65,27.4,60,12/09/2024 12:24
66,27.4,60,12/09/2024 12:24
67,27.4,59.9,12/09/2024 12:24
68,27.4,59.8,12/09/2024 12:24
69,27.4,59.8,12/09/2024 12:25
70,27.4,59.7,12/09/2024 12:25
71,27.4,59.6,12/09/2024 12:25
72,27.5,59.6,12/09/2024 12:25
73,27.5,59.5,12/09/2024 12:25
74,27.4,59.4,12/09/2024 12:25
75,27.4,59.5,12/09/2024 12:26
76,27.4,59.6,12/09/2024 12:26
77,27.4,60.1,12/09/2024 12:26
78,27.4,60,12/09/2024 12:26
79,27.4,60,12/09/2024 12:26
80,27.5,60.3,12/09/2024 12:26
81,27.5,60.3,12/09/2024 12:27
82,27.5,60.3,12/09/2024 12:27
83,27.5,60.3,12/09/2024 12:27
84,27.5,59.9,12/09/2024 12:27
85,27.6,59.8,12/09/2024 12:27
86,27.6,60,12/09/2024 12:27
87,27.6,59.2,12/09/2024 12:28
88,27.6,60.7,12/09/2024 12:28
89,27.6,60.2,12/09/2024 12:28
90,27.6,59.9,12/09/2024 12:28
91,27.6,59.6,12/09/2024 12:28
92,27.6,60,12/09/2024 12:29
93,27.6,59.7,12/09/2024 12:29
94,27.6,59.6,12/09/2024 12:29
95,27.6,59.4,12/09/2024 12:29
96,27.6,59.3,12/09/2024 12:29
97,27.6,59.2,12/09/2024 12:29
98,27.6,59.2,12/09/2024 12:30
99,27.6,59.3,12/09/2024 12:30
100,27.6,59.4,12/09/2024 12:30
101,27.6,59.3,12/09/2024 12:30
102,27.6,59.3,12/09/2024 12:30
103,27.6,59.2,12/09/2024 12:30
104,27.6,59.4,12/09/2024 12:31
105,27.6,59.4,12/09/2024 12:31
106,27.6,59.4,12/09/2024 12:31
107,27.6,59.4,12/09/2024 12:31
108,27.5,59.3,12/09/2024 12:31
109,27.6,59.4,12/09/2024 12:32
110,27.5,59.4,12/09/2024 12:32
111,27.5,59.4,12/09/2024 12:32
112,27.5,59.5,12/09/2024 12:32
113,27.5,59.6,12/09/2024 12:32
114,27.5,59.9,12/09/2024 12:33
115,27.5,59.8,12/09/2024 12:33
116,27.5,59.6,12/09/2024 12:33
117,27.5,59.8,12/09/2024 12:33
118,27.5,59.7,12/09/2024 12:33
119,27.5,59.6,12/09/2024 12:33
120,27.5,59.6,12/09/2024 12:34
121,27.5,59.8,12/09/2024 12:34
122,27.5,59.8,12/09/2024 12:34
123,27.5,59.6,12/09/2024 12:34
124,27.5,59.7,12/09/2024 12:34
125,27.6,59.6,12/09/2024 12:34
126,27.5,59.4,12/09/2024 12:35
127,27.6,59.4,12/09/2024 12:35
128,27.5,59.5,12/09/2024 12:35
129,27.5,59.4,12/09/2024 12:35
130,27.5,59.3,12/09/2024 12:35
131,27.5,59.3,12/09/2024 12:36
132,27.5,59.4,12/09/2024 12:36
133,27.5,59.3,12/09/2024 12:36
134,27.5,59.3,12/09/2024 12:36
135,27.5,59.3,12/09/2024 12:36
136,27.5,59.3,12/09/2024 12:36
137,27.5,59.3,12/09/2024 12:37
138,27.5,59.4,12/09/2024 12:37
139,27.5,59.3,12/09/2024 12:37
140,27.5,59.2,12/09/2024 12:37
141,27.5,59.1,12/09/2024 12:37
142,27.5,59.2,12/09/2024 12:37
143,27.5,59.3,12/09/2024 12:38
144,27.5,59.3,12/09/2024 12:38
145,27.5,59.3,12/09/2024 12:38
146,27.5,59.3,12/09/2024 12:38
147,27.5,57.7,12/09/2024 12:38
148,27.5,59.3,12/09/2024 12:39
149,27.5,59.3,12/09/2024 12:39
150,27.5,59.2,12/09/2024 12:39
151,27.5,59.1,12/09/2024 12:39
152,27.5,59.1,12/09/2024 12:39
153,27.5,60.8,12/09/2024 12:39
154,27.5,60.6,12/09/2024 12:40
155,27.6,60.8,12/09/2024 12:40
156,27.6,61.9,12/09/2024 12:40
157,27.6,61.9,12/09/2024 12:40
158,27.6,61.2,12/09/2024 12:40
159,27.6,61.4,12/09/2024 12:40
160,27.7,60.4,12/09/2024 12:41
161,27.7,60,12/09/2024 12:41
162,27.7,60.3,12/09/2024 12:41
163,27.7,59.6,12/09/2024 12:41
164,27.7,59.7,12/09/2024 12:41
165,27.6,59.6,12/09/2024 12:42
166,27.6,59.4,12/09/2024 12:42
167,27.6,59.7,12/09/2024 12:42
168,27.6,59.6,12/09/2024 12:42
169,27.6,59.4,12/09/2024 12:42
170,27.6,59.2,12/09/2024 12:42
171,27.6,59.3,12/09/2024 12:43
172,27.6,59.2,12/09/2024 12:43
173,27.6,59.1,12/09/2024 12:43
174,27.6,59.1,12/09/2024 12:43
175,27.6,59.2,12/09/2024 12:43
176,27.6,59.4,12/09/2024 12:44
177,27.6,59.4,12/09/2024 12:44
178,27.6,59.5,12/09/2024 12:44
179,27.6,59.4,12/09/2024 12:44
180,27.6,59.6,12/09/2024 12:44
181,27.6,59.4,12/09/2024 12:44
182,27.6,59.6,12/09/2024 12:45
183,27.6,59.7,12/09/2024 12:45
184,27.6,59.7,12/09/2024 12:45
185,27.6,59.4,12/09/2024 12:45
186,27.6,59.3,12/09/2024 12:45
187,27.6,59.2,12/09/2024 12:45
188,27.6,59.6,12/09/2024 12:46
189,27.6,60.6,12/09/2024 12:46
190,27.6,60.8,12/09/2024 12:46
191,27.6,60,12/09/2024 12:46
192,27.6,59.5,12/09/2024 12:46
193,27.6,60,12/09/2024 12:47
194,27.6,60.8,12/09/2024 12:47
195,27.6,61.4,12/09/2024 12:47
196,27.6,61.4,12/09/2024 12:47
197,27.6,60.7,12/09/2024 12:47
198,27.6,60.1,12/09/2024 12:47
199,27.6,59.8,12/09/2024 12:48
200,27.6,60.2,12/09/2024 12:48
201,27.6,60,12/09/2024 12:48
202,27.6,59.7,12/09/2024 12:48
203,27.6,59.9,12/09/2024 12:48
204,27.6,59.8,12/09/2024 12:48
205,27.6,59.7,12/09/2024 12:49
206,27.6,59.5,12/09/2024 12:49
207,27.6,59.4,12/09/2024 12:49
208,27.6,59.4,12/09/2024 12:49
209,27.6,59.4,12/09/2024 12:49
210,27.6,59.4,12/09/2024 12:50
